Upfront_charges,Interest_rate_spread,credit_type,rate_of_interest,dtir1
2596.45,0.4416556604868295,1,3.99,37.73293242017198
0.0,-0.143,3,3.625,37.73293242017198
723.75,0.4416556604868295,1,4.375,37.73293242017198
3200.0,0.6104,2,3.99,31.0
3831.19,0.3725,2,3.99,35.0
1633.09,0.191,2,4.0,34.0
5451.0,0.4461,0,3.25,8.0
2596.45,0.4416556604868295,3,3.99,55.0
0.0,-0.3019,2,4.125,49.0
2596.45,0.4416556604868295,2,3.99,33.0
2596.45,0.4416556604868295,3,3.99,49.0
2488.05,-0.303,0,3.25,37.73293242017198
2596.45,0.4416556604868295,0,3.99,27.0
2596.45,0.4416556604868295,0,3.99,54.0
3558.15,0.3312,0,3.99,36.0
6525.0,-0.2167,2,4.25,47.0
0.0,-0.0624,3,3.125,43.0
0.0,-0.023,0,3.625,45.0
3350.0,0.8207,0,3.75,60.0
2596.45,0.4416556604868295,3,3.99,38.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
0.0,0.2649,2,4.0,41.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
1513.25,1.5983,2,4.25,54.0
0.0,-0.4756,2,3.375,37.73293242017198
5658.7,0.8011,3,4.99,43.0
1376.3,0.2587,2,3.875,46.0
0.0,0.3138,3,4.0,7.0
3695.0,0.6323,3,4.375,41.0
1013.27,0.235,3,3.99,49.0
2070.0,0.1472,3,3.75,47.0
2596.45,0.4416556604868295,0,3.99,32.0
2596.45,0.4416556604868295,2,3.99,37.73293242017198
724.94,0.5661,3,3.625,31.0
0.0,0.4095,3,4.99,37.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
5000.0,-0.2039,2,3.75,37.0
6349.6,-0.1239,0,3.99,34.0
2003.49,0.381,3,3.875,46.0
0.0,-0.502,3,3.25,37.73293242017198
4517.56,0.4977,3,3.99,46.0
0.0,0.3539,2,4.0,39.0
2575.78,0.435,3,4.125,36.0
5257.19,0.6299,2,3.625,50.0
2625.0,-0.3352,0,3.25,36.0
1587.91,0.5501,0,4.125,42.0
2596.45,0.8456,3,4.125,45.0
795.0,0.0923,2,3.875,46.0
2596.45,0.9256,2,4.5,37.0
2233.47,0.4972,2,3.99,24.0
4273.19,0.3813,0,3.99,46.0
0.0,1.4786,3,4.125,37.73293242017198
774.2,1.6041,3,5.125,43.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
3250.0,0.9949,3,4.25,45.0
3268.75,0.4134,3,4.5,43.0
2596.45,0.4416556604868295,0,3.99,46.0
5557.92,0.7343,0,3.99,32.0
4201.1,0.6752,3,4.5,42.0
0.0,-0.243,3,3.375,30.0
2596.45,0.4416556604868295,3,3.99,37.73293242017198
4420.0,0.3074,2,3.75,49.0
3000.0,0.2113,3,3.625,13.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
950.0,0.585,3,4.25,47.0
8093.25,0.0617,2,3.49,49.0
0.0,-0.4129,3,3.375,55.0
0.0,0.2745,3,4.375,43.0
3693.63,0.55,2,4.75,34.0
2530.5,0.5195,2,4.5,28.0
0.0,-0.3514,2,3.375,53.0
3103.25,0.4778,0,4.5,37.0
642.5,0.2895,3,3.375,46.0
3156.0,0.1786,3,4.375,21.0
0.0,0.5439,2,4.125,44.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,3,3.99,34.0
4826.25,0.762,2,4.56,41.0
2596.45,0.4416556604868295,0,3.99,36.0
8046.0,0.7935,2,4.25,45.0
2562.46,1.5244,3,4.375,36.0
5586.57,-0.1148,2,3.5,23.0
10249.9,0.2631,3,3.75,44.0
3511.2,0.4451,0,3.99,24.0
2596.45,0.4416556604868295,3,3.99,46.0
4708.97,0.2974,2,3.99,47.0
808.28,0.2968,3,4.375,40.0
7174.87,0.6183,3,3.25,47.0
8355.59,0.4607,0,3.75,59.0
0.0,0.3887,0,4.5,42.0
4565.0,0.1875,2,3.69,39.0
0.0,0.362,2,4.75,49.0
5733.75,0.335,3,3.625,36.0
0.0,1.3014,2,5.0,45.0
2409.95,0.9133,0,3.5,23.0
3392.93,0.745,0,3.5,34.0
0.0,1.062,3,5.5,36.0
0.0,0.302,2,4.75,21.0
2008.45,1.1233,0,3.99,43.0
2596.45,0.4416556604868295,0,3.99,47.0
337.43,0.2041,3,4.0,46.0
2596.45,0.4416556604868295,3,3.99,35.0
7137.0,0.2465,0,4.0,44.0
3720.0,0.0202,0,3.75,41.0
0.0,0.0004,0,4.18,43.0
2596.45,0.4416556604868295,2,3.99,61.0
0.0,0.9586,2,4.125,51.0
4237.0,0.4098,0,4.5,49.0
3954.58,0.6727,2,3.5,46.0
8398.91,0.3012,2,3.875,31.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2772.11,0.0947,2,3.875,22.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
10329.1,0.0573,3,3.5,44.0
8758.75,0.4788,0,4.125,39.0
2596.45,0.4416556604868295,0,3.99,21.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
1150.0,0.4773,3,4.125,22.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2415.28,1.6888,3,4.5,36.0
2596.45,0.4416556604868295,2,3.99,37.73293242017198
3125.0,0.8585,0,3.99,20.0
352.56,0.3189,3,4.75,27.0
2958.25,1.0446,3,3.99,23.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2578.44,1.3182,3,4.5,44.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
4343.35,0.7559,3,3.625,37.0
6586.1,-0.1128,3,3.625,21.0
6923.75,1.5011,0,4.99,21.0
2596.45,0.4416556604868295,3,3.99,32.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
7651.25,-0.2941,0,3.625,42.0
2596.45,0.4416556604868295,0,3.99,5.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
1936.71,0.0505,2,3.625,39.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
6775.0,0.2418,3,3.875,32.0
1760.15,-0.0026,0,4.125,35.0
924.0,0.142,0,4.125,49.0
2596.45,0.4416556604868295,3,3.99,41.0
6263.34,0.4225,0,3.5,42.0
2725.0,1.1693,2,4.25,20.0
4756.25,0.7302,2,3.75,38.0
0.0,0.5723,3,3.75,52.0
1150.0,0.3432,2,4.56,20.0
1641.08,0.5126,2,4.56,44.0
7030.0,0.2474,2,3.75,39.0
4861.77,0.4192,0,3.875,43.0
2596.45,0.4416556604868295,3,3.99,53.0
2596.45,0.4416556604868295,2,3.99,44.0
889.78,0.3998,0,3.0,54.0
5236.92,-0.2039,0,3.5,42.0
2596.45,0.4416556604868295,0,3.99,40.0
2596.45,0.4416556604868295,0,3.99,40.0
2085.48,-0.1249,3,4.25,46.0
45.22,0.1229,0,3.99,23.0
5024.5,0.915,2,4.99,45.0
5008.88,0.1458,3,3.75,34.0
12079.25,0.1058,0,3.5,25.0
2662.75,0.3568,0,3.75,47.0
0.0,-0.083,2,3.625,42.0
0.0,-0.076,0,3.625,42.0
2596.45,0.4416556604868295,3,3.99,30.0
2862.0,0.0431,0,3.5,37.0
2596.45,0.4416556604868295,3,3.99,47.0
5923.94,0.0056,3,3.75,23.0
1795.0,0.0765,3,4.375,41.0
0.0,-0.131,2,3.5,30.0
800.0,0.4519,3,4.375,38.0
4137.5,0.2006,0,4.5,31.0
2440.0,-0.163,3,4.0,44.0
3250.0,1.2026,2,4.99,49.0
0.0,0.2465,2,3.99,37.0
4500.0,0.1038,2,3.625,29.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
3541.44,-0.1541,0,3.56,37.0
136.84,-0.0511,2,4.125,49.0
4460.3,1.0347,0,3.75,37.0
2596.45,0.4416556604868295,3,3.99,37.0
6905.19,-0.2109,0,3.5,45.0
3487.09,0.1694,2,4.18,32.0
2596.45,0.4416556604868295,2,3.99,37.0
2596.45,0.4416556604868295,3,3.99,61.0
2596.45,0.4416556604868295,2,3.99,57.0
5232.13,0.6294,0,3.5,24.0
1972.5,0.683,3,4.125,51.0
2596.45,0.4416556604868295,2,3.99,17.0
2931.4,0.5243,0,3.5,49.0
2596.45,0.4416556604868295,0,3.99,31.0
2575.0,0.5115,3,4.5,38.0
1759.75,0.9897,0,4.625,46.0
1194.47,1.4286,0,4.99,38.0
3380.47,1.2819,3,4.75,30.0
0.0,0.9656,3,4.125,57.0
2596.45,0.2636,2,3.99,36.0
0.0,1.4171,3,5.375,45.0
2447.76,-0.0658,3,4.125,46.0
3155.0,0.7244,0,3.75,41.0
1489.38,0.3995,3,3.99,37.0
4500.0,0.4064,0,3.875,29.0
3845.24,0.6845,2,3.625,30.0
0.0,0.4762,0,4.875,61.0
17921.75,0.1185,2,3.99,38.0
22417.15,-0.0866,3,3.875,42.0
0.0,0.2285,2,2.99,37.73293242017198
3500.0,0.4885,0,3.99,49.0
2350.06,1.2401,3,4.625,36.0
3942.52,0.1562,2,3.75,32.0
0.0,-0.0808,0,4.375,43.0
2000.0,0.276,3,3.99,43.0
1150.0,0.7729,3,4.875,43.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
3744.5,0.3501,3,4.25,25.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,3,3.99,60.0
2596.45,0.4416556604868295,0,3.99,25.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
10936.8,1.1715,3,4.75,38.0
4595.02,-0.698,0,2.99,37.73293242017198
1349.65,0.0124,3,3.125,49.0
3066.0,0.8347,3,4.875,20.0
1180.0,1.0608,0,3.99,38.0
700.0,0.3882,0,3.99,26.0
4721.6,0.5924,3,4.875,16.0
5650.0,-0.0495,0,3.875,31.0
2596.45,0.4416556604868295,2,3.99,59.0
1600.0,0.4,2,4.375,36.0
600.78,0.5657,0,4.125,44.0
1562.5,1.1111,0,4.375,9.0
3000.0,0.932,3,3.75,37.0
2596.45,0.4416556604868295,3,3.99,36.0
335.26,-0.2469,3,3.75,20.0
0.0,1.0155,3,4.125,55.0
7612.5,0.7166,0,4.125,44.0
2596.45,0.4416556604868295,3,3.99,49.0
0.0,-0.2478,0,3.5,37.73293242017198
